SightingDate,City,State,Shape,Intensity,Duration,Summary,Witnesses,Posted
1/15/15,Duluth,MN,Fireball,High,3 minutes,Bright orange fireball sighting.,1,"January 16, 2015"
1/15/15,Elizabethtown,PA,Changing,High,20 minutes,"4 bright white lights seen in a line formation, object (lights) went from horizontal orientation to completely perpendicular formation.",1,"January 16, 2015"
1/15/15,Sacramento,CA,Sphere,Mid,5 minutes,"Red/Blue/Green flashing spherical object over Natomas, Sacramento.",1,"January 16, 2015"
1/15/15,Las Vegas,NV,Light,High,2 minutes,Light change shape and fast traveling.,1,"January 16, 2015"
1/15/15,Fairlee,VT,Unknown,Mid,1-2 minutes,"Horizontal groups of lights appearing over Fairlee, Vermont.",1,"January 16, 2015"
1/15/15,Waynesville,MO,Disk,High,,((HOAX??))   I saw a disc shaped saucer with green and red flashing lights under it; the saucer was rotating.,1,"January 16, 2015"
1/15/15,Etna,NH,Sphere,Mid,5 minutes,3 lights changin position in a horizontal line in the sky and would also disappear and then reappear.,1,"January 16, 2015"
1/15/15,Whittier,CA,Circle,Mid,5-7 minutes,Irregular flight of round objects with wings and a private Cessna aircraft in pursuit.,1,"January 16, 2015"
1/15/15,Bothell,WA,Circle,High,10 minutes,"Father and son witness acrobatic orange orb over Bothell, WA.",2,"January 16, 2015"
1/15/15,Desoto,TX,Sphere,High,15 seconds,I was driving heading south to my home around 3:05 am and up to my right in the sky a oval white blue orb shot passed me heading south,1,"January 16, 2015"
1/14/15,Halifax (Canada),NS,Circle,Low,12 minutes,"Round circular pattern of lights yellow/orange, 6 with 1 red in the middle and multiple red slow pulsing lights.",1,"January 16, 2015"
1/14/15,Sunbury,OH,Triangle,High,5 minutes,"Low, slow, silent delta shaped flyer over Sunbury, Ohio.",1,"January 16, 2015"
1/14/15,Bethel,AK,Other,Low,10 minutes,"Black smoke contrails over Bethel, Alaska.",1,"January 16, 2015"
1/14/15,Oak Lawn,IL,Light,High,10 seconds,Their back again! 2 Identical Lights that look like bright stars.,1,"January 16, 2015"
1/14/15,Chicago,IL,Sphere,Mid,0.05,Unidentified flying object spotted in Chicago this morning.,1,"January 16, 2015"
1/14/15,Lauderhill/Ft. Lauderdale,FL,Unknown,High,,"Three lights, stationary, much larger than stars.  Two were parallel while other slanted slightly.",1,"January 16, 2015"
1/13/15,Euclid,OH,Formation,Low,1 minutes,"Looked towards Orion's belt and a pitch black craft with about 6 lights all in a V shape flew by at a pretty good clip. Made no sound,",1,"January 16, 2015"
1/13/15,Gallatin Gateway,MT,Triangle,Mid,5 minutes,"Three orange lights in triangular formation moving east to west, with some sort of plane following it closely.",1,"January 16, 2015"
1/13/15,Gallatin Gateway,MT,Triangle,High,8 minutes,A triangular shaped object with no nav/collision lights flew overhead being followed by an obvious airplane.,1,"January 16, 2015"
